File name,Old/new/another name,Note:,Need to change?,Changed?
Veripos,,"Dropped, ticker inactive",,
Voss Veksel- og Landmandsbank,"Voss Veksel og Landmandsbank
Vekselbanken",,Yes,Changed+added
Western Bulk,,,,
Weifa,,"Dropped, ticker inactive",,
Wentworth Resources,,"Dropped, ticker inactive",,
Wilh Wilhelmsen,,,,
Wilh Wilhelmsen Holding ser A,,"Remove, confuses search",Yes,Removed
Wilh Wilhelmsen Holding ser B,,"Remove, confuses search",Yes,Removed
XXL,,,,
Zalaris,,,,
Arendals Fossekompani,,,,
AGR Group,,"Dropped, ticker inactive",,
Apptix,,"Dropped, ticker inactive",,
Asetek,,,,
Atlantic Petroleum,,"Dropped, ticker inactive",,
Bergen Group,Endúr,"Add ""Bergen Group"" to ""Endúr""",Yes,Added
Blom,,"Dropped, ticker inactive",,
Byggma,,,,
Bouvet,,,,
Comrod Communication,,"Dropped, ticker inactive",,
Data Respons,,"Dropped, ticker inactive",,
Domstein,,"Dropped, ticker inactive",,
Fred Olsen Production,,"Dropped, delisted beginning of 2014",,
Gyldendal,,,,
Havila Shipping,,,,
Infratek,,"Dropped, ticker inactive",,
Itera,,,,
Kitron,,,,
Medistim,,,,
Napatech,,,,
NTS,"NTS Group, Namsos Traffikkselskap",,Yes,Changed+added
Polaris Media,,,,
PSI Group,(Under StrongPoint ticker since 2015),"Dropped, ticker inactive",,
RenoNorden,,"Dropped, ticker inactive",,
Repant,,"Dropped, ticker inactive",,
GC Rieber Shipping,,,,
Skiens AktiemOlle,,,,
Solvang,,"Dropped, ticker inactive",,
Siem Shipping,,"Dropped, ticker inactive",,
Tide,,"Dropped, ticker inactive",,
Wilson,,,,
Schibsted ser A,,"Remove, confuses search",Yes,Removed
Schibsted ser B,,"Remove, confuses search",Yes,Removed
Europris,,,,
Gaming Innovation,Gaming Innovation,,Yes,Changed
Idex,,,,
Kid,,,,
Multiconsult,,,,
Nordic Nanovector,,,,
Next Biometrics,,,,
NextGenTel Holding,,"Dropped, ticker inactive",,
NRC Group,Created by merger of Blom+Team Bane,"Don't think it's right to add just one of them to the searches, and adding both is more complex (and not worth it)",,
Skandiabanken,,"Dropped, ticker inactive",,
Strongpoint,PSI,PSI merged with Strongpoint in 2015,Yes,Added
Thin Film Electronics,,"Dropped, ticker inactive",,
Team Tankers International,,"Dropped, ticker inactive",,
Aker BP,,,,
Axactor,,,,
B2Holding,,"Remove, number in name is removed in articles",Yes,Removed
Bulk Invest,,"Dropped, ticker inactive",,
Golden Ocean REG S,,"Dropped, ticker inactive",,
Hiddn Solutions,,"Dropped, ticker inactive",,
Incus Investor,,"Dropped, ticker inactive",,
Insr Insurance,Vardia Insurance,,Yes,Added
Link Mobility Group,Link Mobility,,Yes,Changed
Norwegian Finans Holding,,"Dropped, ticker inactive",,
Pareto Bank,,,,
Solon Eiendom,,"Dropped, ticker inactive",,
Techstep,,,,
Treasure,,,,
Arcus,,"Dropped, ticker inactive",,
Cxense,,"Dropped, ticker inactive",,
Solstad Offshore ser B,,"Remove, confuses search",Yes,Removed
Borr Drilling,,,,
BerGenBio,,,,
Crayon,,,,
Element,,"Dropped, ticker inactive",,
Fjord1,,"Dropped, ticker inactive",,
FLEX LNG,,,,
Infront,,"Dropped, ticker inactive",,
Komplett Bank,,,,
Saferoad Holding,,"Dropped, ticker inactive",,
Sbanken,Skandiabanken before 2017,,Yes,Added
SD Standard Drilling,SD Standard,,Yes,Changed
Self Storage Group,,,,
Targovax,,,,
Webstep,,,,
Wallenius Wilhelmsen Logistics,,"Dropped, ticker inactive",,
Equinor,Statoil,,Yes,Added
Mowi,Marine Harvest,,Yes,Added
Awilco Drilling,,,,
Dolphin Drilling,,"Dropped, ticker inactive",,
Elkem,,,,
Fjordkraft Holding,Fjordkraft,,Yes,Changed
MPC Container Ships,,,,
Magseis Fairfield,,,,
Northern Drilling,,,,
Otello Corporation,Opera Software,,Yes,Added
